application_id,applicant_name,annual_income,credit_score,existing_loans,risk_tier,p_Medium,p_Low,p_High
9001,Avery Silva,32900,630,2,Medium,0.9373,0.0474,0.0153
9002,Jordan Kim,31900,651,3,Medium,0.3010,0.4298,0.2692
9003,Quinn Smith,53100,623,1,Medium,0.9645,0.0278,0.0077
9004,Casey Rossi,106800,695,1,Medium,0.9046,0.0315,0.0639
9005,Riley Chen,69500,636,0,Medium,0.9232,0.0631,0.0137
9006,Taylor Smith,62400,786,1,Low,0.0361,0.9443,0.0196
9007,Avery Smith,31200,612,3,High,0.0322,0.0551,0.9127
9008,Sam Nguyen,55200,614,3,High,0.3433,0.3812,0.2755
9009,Sam Johnson,39300,594,0,High,0.0686,0.0291,0.9023
9010,Casey Johnson,52300,706,1,Medium,0.8421,0.0066,0.1513
9011,Reese Chen,69500,604,2,High,0.0306,0.0551,0.9143
9012,Jamie Chen,60500,749,3,Low,0.0107,0.8710,0.1183
9013,Jordan Nguyen,41300,629,1,Medium,0.8927,0.0574,0.0499
9014,Taylor Müller,36800,728,2,Low,0.4364,0.3666,0.1970
9015,Avery Chen,78000,805,3,Low,0.7828,0.0627,0.1545
9016,Sam Patel,46400,629,1,Medium,0.8446,0.0538,0.1016
9017,Drew Smith,99200,480,1,High,0.2316,0.3382,0.4302
9018,Jordan Chen,58000,722,3,Low,0.0923,0.8350,0.0727
9019,Reese Dubois,51200,722,0,Low,0.0943,0.8236,0.0821
9020,Jordan Johnson,105500,676,2,Medium,0.7056,0.1965,0.0979
9021,Riley Chen,35100,680,0,Medium,0.4462,0.1037,0.4501
9022,Jamie Dubois,59500,757,0,Low,0.8731,0.0905,0.0364
9023,Jordan Nguyen,50700,574,2,High,0.2610,0.1088,0.6302
9024,Taylor Patel,40300,678,1,Medium,0.8803,0.0288,0.0909
9025,Casey Kowalski,59000,799,3,Low,0.0993,0.8376,0.0631
9026,Alex Kowalski,49800,643,0,Medium,0.9120,0.0429,0.0451
9027,Alex Garcia,43200,676,2,Medium,0.9075,0.0512,0.0413
9028,Riley Nguyen,91300,674,2,Medium,0.4639,0.0867,0.4494
9029,Reese Chen,64600,749,1,Low,0.1541,0.5294,0.3165
9030,Drew Müller,74200,576,1,High,0.0442,0.1492,0.8066
9031,Morgan Chen,66700,655,0,Medium,0.9367,0.0287,0.0346
9032,Alex Müller,20600,736,2,Low,0.0488,0.0956,0.8556
9033,Drew Silva,30500,763,3,Low,0.1299,0.6829,0.1872
9034,Sam Silva,22100,605,3,High,0.0865,0.0645,0.8490
9035,Casey Garcia,54800,709,3,Medium,0.8366,0.0218,0.1416
9036,Alex Silva,75400,668,3,Medium,0.8249,0.1536,0.0215
9037,Jamie Garcia,52300,709,3,Medium,0.5722,0.2464,0.1814
9038,Drew Garcia,43600,780,0,Low,0.0551,0.8875,0.0574
9039,Riley Müller,90500,582,0,High,0.0551,0.0410,0.9039
9040,Alex Nguyen,44800,626,1,Medium,0.2833,0.5006,0.2161
9041,Alex Dubois,60900,662,2,Medium,0.0756,0.9230,0.0014
9042,Sam Kowalski,116900,546,1,High,0.0966,0.0813,0.8221
9043,Avery Silva,45500,568,2,High,0.7973,0.0712,0.1315
9044,Sam Müller,48500,666,3,Medium,0.8866,0.0280,0.0854
9045,Reese Müller,26400,721,3,Low,0.4036,0.4209,0.1755
9046,Riley Dubois,28600,691,2,Medium,0.8973,0.0525,0.0502
9047,Alex Dubois,32900,650,3,Medium,0.9505,0.0220,0.0275
9048,Avery Kim,94100,682,1,Medium,0.3478,0.2977,0.3545
9049,Sam Garcia,63600,714,3,Medium,0.3637,0.2880,0.3483
9050,Casey Patel,51800,708,2,Medium,0.8253,0.1592,0.0155
9051,Alex Kim,42300,587,2,High,0.0913,0.0943,0.8144
9052,Casey Johnson,55900,581,1,High,0.0600,0.8960,0.0440
9053,Jamie Müller,63700,737,1,Low,0.4482,0.4159,0.1359
9054,Sam Johnson,68800,568,3,High,0.0836,0.8523,0.0641
9055,Taylor Johnson,35000,740,3,Low,0.0051,0.9380,0.0569
9056,Morgan Smith,51400,723,3,Low,0.0549,0.9128,0.0323
9057,Sam Rossi,49400,635,0,Medium,0.4644,0.3127,0.2229
9058,Sam Silva,67200,687,2,Medium,0.8978,0.0432,0.0590
9059,Quinn Müller,25700,723,0,Low,0.0087,0.9462,0.0451
9060,Sam Johnson,80400,657,2,Medium,0.4696,0.4815,0.0489
9061,Alex Müller,44500,629,0,Medium,0.2181,0.6553,0.1266
9062,Riley Smith,68500,723,3,Low,0.0663,0.8813,0.0524
9063,Morgan Johnson,39900,718,0,Medium,0.4621,0.1025,0.4354
9064,Jordan Silva,29800,751,3,Low,0.0093,0.9327,0.0580
9065,Sam Johnson,75700,613,3,High,0.0251,0.0115,0.9634
9066,Reese Nguyen,75800,702,0,Medium,0.8399,0.1464,0.0137
9067,Morgan Dubois,37000,679,1,Medium,0.6602,0.2642,0.0756
9068,Alex Kowalski,64600,743,1,Low,0.2401,0.3688,0.3911
9069,Jamie Silva,83200,660,1,Medium,0.8327,0.1215,0.0458
9070,Drew Müller,22000,612,0,High,0.0874,0.0671,0.8455
9071,Taylor Smith,32500,701,2,Medium,0.9651,0.0088,0.0261
9072,Sam Müller,57800,570,1,High,0.1387,0.1843,0.6770
9073,Jordan Garcia,34800,615,2,High,0.0868,0.0616,0.8516
9074,Riley Silva,73800,668,3,Medium,0.4305,0.1503,0.4192
9075,Casey Kim,59500,755,0,Low,0.0367,0.9275,0.0358
9076,Sam Garcia,69400,586,2,High,0.1053,0.0848,0.8099
9077,Reese Smith,51400,649,2,Medium,0.3498,0.3154,0.3348
9078,Sam Nguyen,29300,651,1,Medium,0.3874,0.1906,0.4220
9079,Quinn Kowalski,45400,550,0,High,0.0575,0.0653,0.8772
9080,Morgan Rossi,89600,704,3,Medium,0.8387,0.0996,0.0617
9081,Quinn Patel,72600,640,1,Medium,0.0961,0.0372,0.8667
9082,Jamie Müller,22700,660,2,Medium,0.8467,0.0029,0.1504
9083,Riley Dubois,44700,691,0,Medium,0.3318,0.2992,0.3690
9084,Jordan Patel,45200,599,0,High,0.1960,0.3841,0.4199
9085,Riley Kowalski,66700,600,2,High,0.3292,0.3131,0.3577
9086,Sam Rossi,27800,768,2,Low,0.0102,0.8613,0.1285
9087,Morgan Garcia,85100,675,3,Medium,0.9374,0.0150,0.0476
9088,Alex Kim,132500,749,1,Low,0.0136,0.8959,0.0905
9089,Quinn Patel,53900,772,3,Low,0.1321,0.6537,0.2142
9090,Quinn Müller,112900,703,3,Medium,0.4908,0.2893,0.2199
9091,Taylor Garcia,31500,617,2,High,0.0061,0.1622,0.8317
9092,Drew Patel,91700,799,2,Low,0.2038,0.4219,0.3743
9093,Drew Kowalski,51800,664,1,Medium,0.8762,0.0584,0.0654
9094,Jamie Johnson,32000,643,1,Medium,0.6311,0.2943,0.0746
9095,Jordan Dubois,52000,706,0,Medium,0.8271,0.0860,0.0869
9096,Reese Garcia,47700,737,3,Low,0.3776,0.4185,0.2039
9097,Drew Kim,46600,715,0,Medium,0.0745,0.1345,0.7910
9098,Alex Kowalski,43100,655,1,Medium,0.4608,0.3168,0.2224
9099,Sam Nguyen,77400,740,0,Low,0.1552,0.7001,0.1447
9100,Reese Patel,56500,632,0,Medium,0.8288,0.0813,0.0899
9101,Quinn Rossi,26900,706,0,Medium,0.9085,0.0635,0.0280
9102,Sam Garcia,91200,664,1,Medium,0.8244,0.0502,0.1254
9103,Morgan Silva,33800,620,1,High,0.0517,0.9250,0.0233
9104,Reese Chen,52300,725,3,Low,0.1149,0.8555,0.0296
9105,Morgan Garcia,54000,712,0,Medium,0.2315,0.3700,0.3985
9106,Avery Smith,28800,646,3,Medium,0.0625,0.9255,0.0120
9107,Avery Chen,93300,643,1,Medium,0.2927,0.3869,0.3204
9108,Avery Rossi,42300,688,2,Medium,0.3058,0.1459,0.5483
9109,Taylor Müller,42200,744,1,Low,0.2137,0.5704,0.2159
9110,Alex Kowalski,45000,773,2,Low,0.0569,0.8825,0.0606
9111,Sam Müller,88800,651,1,Medium,0.8876,0.0772,0.0352
9112,Reese Johnson,39100,725,0,Low,0.0515,0.9484,0.0001
9113,Reese Silva,74100,750,3,Low,0.0110,0.8416,0.1474
9114,Alex Kowalski,76200,612,1,High,0.4080,0.0610,0.5310
9115,Casey Garcia,66100,676,2,Medium,0.8338,0.0369,0.1293
9116,Morgan Nguyen,53500,587,3,High,0.1119,0.0355,0.8526
9117,Morgan Dubois,84200,675,2,Medium,0.3459,0.3016,0.3525
9118,Morgan Rossi,87100,727,1,Low,0.2227,0.4641,0.3132
9119,Sam Garcia,52000,703,0,Medium,0.8646,0.1151,0.0203
9120,Sam Dubois,76300,741,1,Low,0.0543,0.8836,0.0621
